cgpa,resume_score,placed
7.2,,1
8.29,8.33,1
8.7,9.46,1
8.75,6.85,0
6.58,5.64,0
5.7,8.98,0
6.37,9.68,1
6.84,6.47,0
7.77,,0
7.31,8.5,1
5.51,7.11,0
5.75,6.62,1
6.97,5.79,1
7.31,5.88,0
7.4,8.2,1
7.6,5.51,0
7.62,3.15,1
7.44,7.78,1
5.91,5.71,1
5.87,8.45,0
4.5,,1
7.08,7.25,1
6.88,,1
6.76,7.75,1
4.87,6.47,1
9.47,6.5,1
6.28,5.41,1
6.99,8.88,1
8.4,7.16,1
7.22,,0
8.39,,1
7.22,7.76,0
5.75,8.8,1
7.67,6.38,0
7.72,,0
6.09,6.19,0
6.56,7.2,1
7.95,9.16,1
6.29,,0
6.65,9.13,1
5.6,,1
6.32,5.09,1
6.59,7.23,1
5.87,7.39,1
8.69,5.66,0
5.54,,1
6.65,10.0,1
8.81,5.84,0
7.18,,1
6.92,6.98,1
6.6,,1
8.77,6.72,1
5.81,6.52,1
7.83,7.72,1
6.48,6.55,1
6.57,7.46,1
6.72,7.57,0
6.86,6.29,1
6.32,7.03,1
5.64,7.8,1
5.22,5.2,1
7.56,6.0,1
7.47,6.14,1
6.72,6.77,0
6.84,7.72,0
4.5,8.02,1
5.65,6.05,1
8.94,7.44,1
6.91,6.1,1
7.03,4.76,0
8.5,4.76,1
7.41,9.56,1
8.09,5.12,0
5.37,6.02,1
7.33,,1
7.3,6.45,0
6.4,6.74,1
6.65,6.66,0
6.73,,1
6.9,8.44,1
6.17,5.33,0
6.53,5.94,1
5.08,8.74,0
7.86,5.93,0
7.43,6.62,1
8.05,9.59,0
8.29,,1
8.48,8.44,1
9.1,6.65,0
4.56,6.68,1
6.17,5.7,0
8.49,7.0,0
5.89,8.31,1
4.5,5.97,0
5.29,8.34,1
4.83,,1
6.59,7.06,1
7.52,5.81,0
7.27,4.92,1
9.22,7.33,1
7.44,8.65,0
5.84,8.45,0
6.06,7.0,1
6.13,4.74,0
6.79,7.44,0
6.13,,0
6.64,6.17,0
7.13,7.09,1
4.8,7.03,0
7.94,4.94,1
5.02,6.49,1
6.57,7.73,1
8.84,5.46,0
8.94,5.82,0
7.23,4.72,1
7.48,8.29,0
5.4,4.2,0
8.22,7.19,1
5.6,5.34,0
8.92,7.82,1
5.72,5.59,1
7.67,6.32,0
8.09,5.48,1
6.47,5.74,0
5.21,7.7,0
7.44,,1
5.66,4.77,0
7.01,6.91,1
6.48,7.93,1
6.94,6.15,0
7.35,6.46,1
6.71,8.31,1
7.29,7.4,1
6.01,,1
6.17,6.68,1
8.74,8.72,0
5.98,,1
5.78,6.62,1
6.56,5.34,1
8.33,8.49,1
6.55,4.5,1
6.2,6.82,0
7.11,6.35,1
8.32,7.11,1
7.68,7.92,1
6.52,5.24,1
5.76,8.47,1
6.01,,0
6.97,7.4,1
7.17,7.49,1
5.46,,1
5.17,7.15,0
7.29,7.36,0
7.79,,1
6.77,5.93,0
6.92,5.0,0
5.32,7.58,1
6.58,6.61,0
6.84,8.05,1
8.78,,0
5.57,5.7,0
7.59,8.35,1
6.52,6.36,0
8.96,5.1,1
5.72,6.28,0
5.44,,0
9.33,,1
9.52,8.68,1
9.02,7.02,1
6.9,,1
6.68,4.94,1
8.63,,1
7.64,7.38,1
7.13,7.12,1
5.4,7.46,1
8.06,5.21,0
7.51,7.0,1
8.22,7.07,0
6.96,7.27,1
5.9,8.09,1
6.58,5.29,1
8.69,4.95,0
6.65,7.61,1
7.04,,1
7.18,4.76,0
6.6,6.73,0
5.98,6.89,1
5.57,7.38,1
5.44,7.95,1
6.02,5.06,1
6.25,8.2,1
8.24,7.1,1
5.81,4.49,0
8.19,7.65,1
6.19,4.65,0
7.93,,1
5.91,8.86,0
9.1,5.72,1
6.78,6.71,1
5.93,9.57,1
7.08,7.02,1
6.69,7.19,1
7.67,,1
6.13,,0
4.5,,0
6.56,6.9,1
8.14,7.64,1
6.28,5.95,0
6.55,5.8,0
6.35,8.21,1
7.91,8.59,1
8.4,10.0,1
6.33,7.65,1
6.44,5.66,0
7.08,4.35,0
8.75,8.35,0
6.05,7.05,0
6.95,,1
6.78,7.91,1
7.77,5.49,0
7.22,7.21,1
8.41,6.53,0
7.47,5.55,0
6.32,7.63,1
7.29,6.61,0
6.84,6.07,1
5.88,5.07,1
6.79,5.95,1
7.78,7.79,1
6.0,5.91,0
9.11,6.89,1
5.57,5.45,1
8.35,,0
8.0,6.8,0
6.67,6.64,0
8.22,9.49,1
6.69,6.08,1
6.53,7.8,0
6.27,8.65,1
6.1,5.68,0
8.02,8.2,0
5.94,,0
7.44,7.93,0
6.22,5.21,0
7.41,7.71,1
7.0,,0
8.16,5.66,0
7.12,7.35,1
7.53,5.78,1
5.43,,0
7.26,,1
8.02,5.11,0
7.81,7.9,1
6.26,6.04,0
5.73,6.01,1
4.5,7.23,1
6.53,6.52,0
8.09,6.08,1
7.96,6.94,1
8.06,,1
6.57,,0
6.04,,0
7.16,6.5,1
9.16,7.24,0
7.94,6.8,0
7.05,,1
5.57,7.77,1
5.81,7.93,1
6.36,4.46,0
8.31,7.23,1
5.7,8.16,1
8.08,6.48,1
5.29,10.0,1
6.74,6.53,0
7.75,10.0,1
6.17,5.38,1
7.69,7.57,1
7.47,6.81,1
7.04,4.58,1
7.28,6.42,1
6.06,6.96,0
7.92,8.28,1
8.11,5.03,1
8.89,6.13,1
5.06,,1
7.58,7.68,1
6.06,6.17,0
8.39,5.76,0
7.33,6.26,0
9.35,7.35,1
6.71,5.2,1
8.33,5.81,1
6.29,8.09,0
6.81,6.68,1
10.0,8.03,1
5.93,5.05,1
5.42,5.96,0
6.26,5.29,1
5.9,7.71,1
6.55,5.57,0
6.43,7.91,1
8.0,5.85,1
6.22,7.72,0
7.05,8.02,0
6.79,7.68,1
6.44,7.42,1
7.9,7.17,1
5.36,9.99,1
10.0,7.44,0
7.51,8.53,1
5.94,6.75,1
7.29,7.38,0
9.97,8.28,1
5.74,4.67,1
7.33,7.64,1
5.96,6.75,1
6.4,,1
5.64,6.1,0
5.9,6.86,1
4.5,7.37,0
7.54,6.61,1
4.93,6.79,1
5.66,8.84,1
7.47,5.56,1
7.17,7.93,0
5.98,6.0,1
6.18,8.49,1
7.44,6.73,1
7.72,8.92,1
6.76,5.61,0
7.45,8.18,1
7.11,7.95,1
7.52,6.2,0
7.61,,1
6.49,8.43,1
8.14,7.46,0
4.73,5.28,0
7.53,7.54,1
5.87,7.09,1
7.05,7.02,1
7.97,5.53,1
7.38,7.73,0
7.34,6.5,0
6.57,6.11,0
7.96,5.85,1
6.2,6.06,0
6.09,6.26,1
7.5,8.36,1
5.59,,1
4.5,7.58,1
8.79,9.01,1
6.74,4.83,0
7.33,7.27,1
6.2,8.57,0
7.3,5.79,1
6.48,4.55,0
7.86,,1
8.87,4.92,1
6.87,5.49,1
7.52,10.0,0
6.92,8.42,1
7.84,8.27,0
7.58,7.55,0
6.85,4.27,1
6.29,6.88,0
7.85,7.2,1
8.96,,1
7.72,5.26,0
6.15,3.97,1
7.08,6.82,1
7.9,9.27,1
6.82,6.5,1
9.7,7.58,1
7.23,6.39,0
6.95,6.42,0
6.54,6.58,1
7.12,5.14,0
5.59,6.74,1
5.14,5.04,0
6.25,,1
8.31,5.55,1
8.16,7.29,1
8.76,9.64,1
7.75,9.48,1
7.73,7.79,0
6.57,5.03,1
6.54,5.36,0
7.59,,1
8.32,7.01,1
6.1,8.55,0
8.34,7.49,0
8.0,8.1,0
7.25,8.64,1
5.69,3.96,0
6.89,6.05,0
6.83,8.05,1
7.2,7.46,1
7.32,7.1,1
7.1,6.87,0
6.83,5.54,1
4.5,7.46,1
7.32,5.83,1
6.25,8.09,1
6.62,4.9,1
7.49,6.13,0
6.05,6.52,1
5.75,5.44,1
7.26,7.83,1
6.6,6.93,1
7.41,7.54,1
7.78,,1
6.69,7.48,0
5.22,6.06,1
8.41,8.67,1
7.0,7.74,0
4.75,7.74,1
9.21,6.62,1
7.25,5.99,0
9.43,9.03,1
10.0,6.59,0
7.39,6.01,1
7.72,7.8,1
7.7,5.64,1
6.85,7.14,1
6.29,8.83,1
5.6,6.89,0
7.11,9.52,1
6.0,7.8,1
8.16,5.1,0
7.64,9.38,1
6.7,8.82,1
8.23,6.04,1
7.96,,1
7.15,6.59,0
5.78,4.56,1
9.27,9.8,1
6.58,,1
8.08,8.25,1
7.91,9.09,1
5.25,7.03,1
8.12,4.82,0
6.71,7.98,1
6.03,5.66,1
4.95,6.32,1
8.92,6.66,1
8.91,5.23,0
7.17,7.52,0
6.45,,0
6.49,8.18,1
7.76,6.58,1
5.86,5.73,1
8.59,5.68,1
6.59,5.41,0
6.16,,1
6.8,4.87,0
7.81,8.49,1
6.85,6.68,1
6.91,5.82,0
6.6,7.19,1
4.5,7.21,0
7.92,,1
7.0,8.89,0
8.36,8.21,1
6.96,6.69,1
7.86,7.07,1
6.56,3.9,0
7.57,8.02,1
5.94,6.6,0
8.11,7.05,1
7.62,6.37,1
5.08,,0
5.93,5.44,0
6.16,6.7,0
7.01,6.66,1
5.49,7.36,0
7.02,4.41,0
7.3,6.43,1
6.06,6.15,1
7.8,6.27,0
8.07,6.74,1
6.03,5.28,0
7.45,8.39,1
6.92,6.77,1
5.89,,1
6.76,7.65,1
5.48,7.32,0
6.8,6.69,0
7.91,6.05,1
7.69,7.32,1
6.12,,1
6.36,,0
5.43,7.82,1
7.62,7.51,1
5.69,8.49,0
6.58,5.34,0
8.55,8.11,0
7.83,10.0,1
8.67,5.53,0
4.5,8.09,1
7.72,8.44,1
6.77,,0
7.16,6.97,0
6.26,6.8,1
6.4,,0
7.37,4.77,1
6.8,,1
8.11,7.34,1
7.75,5.97,1
7.5,5.46,1
9.17,5.59,1
6.09,9.13,1
7.05,8.26,1
6.89,,1
6.29,7.37,1
8.6,4.8,0
6.09,,0
6.86,6.85,1
6.13,7.54,1
7.58,5.94,1
8.6,8.4,1
7.02,7.57,0
10.0,7.91,1
7.24,6.74,1
5.76,6.42,1
6.29,7.4,1
7.32,4.44,0
9.15,6.86,1
7.28,5.3,1
9.5,7.24,1
5.82,,1
6.53,6.69,1
8.27,6.62,1
6.71,,0
5.04,5.87,0
7.09,7.61,1
6.85,7.89,1
6.23,7.7,1
9.14,6.35,0
6.88,6.73,1
6.7,6.9,1
6.09,7.26,1
5.51,7.79,1
9.62,4.13,1
8.09,7.52,0
6.25,8.44,1
8.04,6.85,0
5.5,,1
9.04,6.96,0
5.82,9.06,1
7.43,6.87,1
6.55,6.87,1
6.19,7.75,1
6.44,7.45,1
9.14,6.67,1
6.74,6.82,1
6.48,6.62,1
6.21,5.97,0
6.66,7.16,0
7.82,6.43,1
7.09,8.22,1
6.54,7.58,1
6.42,,0
7.07,7.16,1
6.36,6.78,1
7.2,7.43,1
7.69,6.62,0
6.04,5.84,0
6.93,7.8,1
5.65,7.38,1
7.91,7.4,1
7.81,8.16,1
9.2,,1
6.74,9.84,1
6.95,5.12,0
9.83,6.02,1
7.16,7.93,0
7.06,4.9,0
5.73,6.58,1
8.17,6.53,0
8.67,6.22,0
5.98,5.76,1
8.99,6.79,0
6.57,8.15,0
8.63,8.27,1
6.33,7.79,0
8.35,4.57,1
7.3,,0
5.85,8.38,1
7.63,6.39,1
4.72,4.93,0
6.19,8.61,1
6.65,6.23,1
5.93,4.19,0
9.06,7.58,0
7.69,6.48,1
6.82,8.56,1
7.48,7.59,1
8.36,5.79,1
7.48,5.65,0
8.0,5.94,1
5.79,5.46,0
6.17,6.93,1
8.08,6.56,1
6.27,,0
7.35,8.32,1
6.31,5.52,0
6.07,8.44,1
8.76,8.32,0
5.69,4.86,0
6.45,6.69,0
7.3,4.83,1
6.73,,1
7.41,6.59,1
8.73,6.9,1
6.6,3.77,0
7.02,,1
6.5,5.36,1
7.24,8.03,1
6.26,5.06,0
4.5,8.36,1
4.5,6.56,1
6.83,6.62,1
9.23,6.42,1
7.41,7.03,1
7.06,7.22,1
4.52,5.43,1
7.46,8.12,0
6.0,8.86,1
6.52,5.61,0
8.48,6.42,0
7.32,6.33,1
7.46,6.2,1
6.38,7.62,1
8.51,4.99,1
8.17,,1
6.65,6.65,1
6.56,6.78,1
5.18,5.89,0
5.42,5.79,1
8.77,5.44,1
7.66,7.44,0
6.19,7.45,0
6.52,5.23,1
8.52,5.39,1
6.38,6.42,1
6.28,6.65,0
5.97,6.31,1
5.74,4.62,0
7.16,8.48,1
6.15,6.09,0
7.99,9.35,1
9.12,7.34,0
6.16,6.88,0
7.14,7.51,1
7.57,5.87,1
7.05,7.22,0
8.13,6.76,0
6.23,7.57,0
7.57,7.31,1
8.63,6.19,1
6.58,6.73,1
7.15,6.71,1
6.27,7.25,1
7.31,8.1,1
8.04,5.63,0
5.54,7.7,0
7.93,7.79,0
5.86,6.24,1
7.71,5.5,1
5.4,7.63,0
5.3,6.81,1
8.64,,1
7.6,6.88,1
6.67,9.1,1
6.4,7.92,1
4.64,7.21,1
8.41,7.4,1
7.75,6.56,1
7.84,5.72,1
5.4,5.61,1
6.57,4.28,1
7.78,5.05,0
8.54,7.93,1
7.59,5.44,0
6.22,6.29,0
5.42,7.27,1
6.76,6.99,1
7.64,7.35,1
8.22,6.15,1
6.36,5.28,1
7.53,8.36,1
7.08,6.2,1
8.3,5.94,1
6.26,8.47,1
7.36,8.51,1
6.11,7.86,1
6.59,7.93,1
6.28,7.5,0
6.87,7.79,1
9.34,,1
6.74,6.66,1
5.15,6.4,1
7.83,5.16,0
7.55,5.31,0
8.19,5.79,1
7.31,7.04,1
5.56,5.91,1
6.77,,1
9.11,9.1,1
6.43,7.53,1
6.7,7.2,0
7.51,7.63,0
6.18,5.08,1
9.05,7.02,1
5.71,5.74,0
6.61,5.35,1
9.46,7.25,1
9.05,5.07,0
7.64,8.13,1
6.71,9.57,1
5.5,6.89,0
4.5,6.32,0
6.43,8.26,1
6.49,8.33,0
9.09,8.96,1
7.49,6.54,1
10.0,,1
7.02,6.05,1
6.03,,1
7.55,4.34,1
7.57,7.24,1
7.42,7.07,0
7.48,7.43,1
8.5,8.47,1
5.19,6.15,0
6.56,,1
7.19,7.2,0
5.84,7.18,1
8.87,4.56,1
6.93,6.96,1
7.13,9.15,1
7.77,6.8,0
6.45,6.27,1
7.91,,1
6.44,6.32,1
6.5,8.88,0
8.43,6.67,0
6.16,6.76,0
4.5,4.96,1
5.45,8.24,1
6.35,6.46,0
9.49,9.25,1
6.19,7.98,1
7.78,5.44,1
7.53,5.59,1
7.34,8.04,1
7.99,5.5,1
5.47,6.3,1
8.59,5.96,1
6.94,7.34,1
6.05,7.18,1
7.94,5.68,1
5.83,8.57,1
5.6,7.81,1
6.86,7.78,0
6.05,7.65,1
6.49,6.1,1
6.83,6.63,0
5.63,8.04,1
7.25,,0
5.46,6.47,1
8.08,5.31,1
6.65,6.65,1
7.74,4.45,0
5.47,6.6,0
6.02,7.16,0
6.66,5.93,1
8.03,8.12,1
6.71,10.0,1
5.53,6.79,1
6.33,7.53,1
6.02,,1
9.42,7.69,0
5.77,,0
7.49,6.27,1
5.62,5.42,1
7.68,8.08,1
8.75,7.52,1
8.23,6.57,1
5.41,,1
7.38,7.27,1
5.21,5.46,1
6.34,4.57,0
6.31,6.58,1
6.35,6.75,0
7.94,5.66,1
4.5,7.54,1
5.11,5.36,0
7.16,,1
5.35,7.82,0
7.99,8.46,1
7.47,9.75,0
6.87,6.9,0
5.29,5.07,1
7.82,6.25,1
6.97,8.35,1
5.68,8.53,1
5.62,6.29,1
5.96,5.37,0
7.34,8.24,1
6.57,7.53,1
7.06,7.91,1
7.91,7.55,0
7.05,4.14,0
8.73,,1
7.03,6.91,0
8.01,9.21,1
7.1,4.88,0
6.93,6.29,0
7.72,5.75,1
7.34,5.46,0
7.17,6.06,0
8.33,5.69,1
6.14,6.33,0
7.37,6.58,1
7.16,8.57,1
4.5,,1
7.57,6.05,1
8.01,8.42,1
7.42,7.02,1
6.81,7.99,1
8.47,3.26,1
6.99,,1
6.7,5.32,1
9.67,7.26,1
9.25,5.49,1
6.59,7.07,1
6.43,5.06,1
8.64,7.3,1
5.82,9.23,0
6.35,6.86,1
7.32,7.58,1
7.42,8.66,1
8.12,,1
5.97,6.92,1
4.5,6.86,1
8.58,5.89,1
6.76,6.84,0
6.78,7.71,0
8.53,6.15,1
7.12,7.88,1
6.39,8.1,1
7.47,6.43,1
10.0,,1
7.37,6.39,1
7.18,5.55,0
9.09,5.8,1
5.89,6.66,0
7.33,6.67,1
7.53,7.39,1
5.54,6.75,1
8.04,8.17,1
9.05,5.34,0
8.61,,1
7.03,,1
6.21,,0
8.18,6.61,1
6.6,5.07,1
7.11,5.37,1
6.18,6.46,1
5.79,5.89,0
8.05,6.66,1
6.88,6.26,0
5.37,6.49,1
5.94,6.44,1
6.3,5.78,0
7.22,7.39,1
6.68,,1
7.22,8.12,1
7.6,6.47,0
6.03,6.22,0
6.37,7.14,1
5.17,7.14,1
6.41,7.99,1
4.5,8.75,1
8.91,5.85,1
7.02,7.4,0
6.41,7.25,0
6.77,7.28,0
5.26,5.31,0
6.43,5.36,0
5.41,6.6,0
6.51,5.44,1
6.42,5.94,0
6.18,6.68,0
4.75,4.84,1
9.19,7.49,1
6.89,,0
5.97,6.84,0
7.81,6.51,0
6.15,6.69,1
5.98,5.87,1
4.5,,1
6.56,7.34,1
8.27,,1
5.86,8.04,1
7.4,6.89,0
6.95,4.56,1
9.16,4.86,1
8.98,7.23,1
5.57,,1
7.22,5.97,1
6.98,7.67,1
6.82,3.86,0
8.32,5.89,0
8.06,9.12,1
4.5,6.76,0
7.49,6.92,1
6.92,7.35,0
9.06,6.17,1
8.0,5.83,1
7.17,4.4,1
5.99,4.87,1
8.77,9.97,1
5.63,6.86,1
7.35,8.6,1
6.2,,1
6.94,3.78,0
6.89,6.85,1
7.1,6.69,1
8.06,6.59,1
7.52,6.46,1
5.82,5.48,1
6.89,5.3,1
9.44,6.38,0
5.91,5.66,1
6.72,6.07,1
8.7,6.66,0
7.26,5.16,0
4.99,5.18,0
7.32,3.66,1
7.27,7.23,0
7.42,6.65,1
6.77,,1
7.84,,0
7.09,7.87,1
8.62,,1
6.79,7.69,1
4.5,,1
6.21,8.44,1
7.43,6.57,0
7.4,7.84,0
4.71,7.59,0
7.36,6.62,0
6.49,5.52,0
5.58,7.22,1
6.1,5.16,0
6.43,7.91,0
6.78,5.98,1
5.12,8.15,0
8.22,7.95,1
8.86,8.19,1
7.51,6.96,0
6.72,8.23,0
4.99,5.7,0
7.75,,1
4.66,7.03,1
8.07,9.34,1
6.61,8.57,1
6.6,5.44,1
4.75,,0
8.01,7.05,1
7.37,6.82,1
6.22,6.3,1
6.21,6.12,1
6.67,7.73,0
5.83,7.93,1
6.64,7.49,1
7.14,7.6,0
7.53,7.01,1
7.5,,1
8.24,6.49,1
7.26,8.62,1
6.02,6.07,0
6.71,,1
7.35,5.46,1
7.23,7.29,1
7.54,7.19,1
6.21,8.26,0
8.04,7.76,1
7.36,6.58,1
5.71,8.65,1
7.44,7.89,0
7.48,4.56,0
8.39,5.2,1
5.32,8.54,1
4.81,5.53,1
8.3,8.29,1
4.85,6.99,1
5.1,7.25,1
6.13,7.92,0
8.72,7.72,1
7.92,,0
7.32,6.8,0
6.75,7.76,1
7.77,6.34,1
7.73,8.93,0
7.02,,1
6.66,7.32,1
7.92,7.14,1
4.91,,1
5.31,8.93,0
6.36,7.53,1
7.72,7.9,1
8.75,6.45,1
5.48,8.06,1
8.21,6.09,1
7.05,6.7,0
6.83,8.46,1
5.84,7.13,1
8.15,7.61,1
6.68,6.8,1
5.98,6.8,1
8.14,7.91,1
7.64,7.05,1
7.58,,1
7.38,,1
6.78,8.03,1
7.01,7.88,0
8.03,5.9,1
7.14,4.73,1
5.56,8.38,0
6.4,6.17,0
6.24,7.14,1
5.61,7.63,1
6.21,7.14,1
7.05,5.89,1
6.51,8.54,1
6.46,7.8,1
6.77,,0
5.56,4.93,0
8.77,,1
6.28,6.83,1
7.0,7.94,1
7.41,6.29,1
5.62,8.56,0
4.5,6.49,1
7.99,6.41,1
6.4,,1
6.03,,1
7.89,7.63,1
7.29,5.31,0
4.59,6.95,1
5.83,5.02,1
4.95,6.67,1
7.38,10.0,0
5.86,6.09,0
6.76,7.27,1
7.01,,1
7.78,6.45,1
7.86,8.91,1
6.75,7.71,1
6.7,6.58,1
7.93,7.97,1
8.48,6.35,0
7.3,,1
7.81,7.66,1
6.96,5.35,0
6.64,,1
7.31,4.92,1
6.17,7.61,1
6.64,,1
6.36,6.17,0
6.86,4.79,0
6.19,8.49,0
6.51,7.03,0
7.52,6.94,1
6.63,6.92,0
8.21,8.6,1
8.34,6.59,1
8.06,6.2,1
4.6,5.77,1
6.85,7.03,1
5.41,9.58,1
7.32,7.72,1
6.94,7.25,1
6.62,7.42,0
8.21,6.95,0
6.21,5.81,0
6.25,8.58,0
7.75,,1
7.41,6.46,1
6.78,6.62,0
5.5,5.98,1
7.37,8.19,1
8.97,7.43,1
7.42,8.37,1
6.77,,1
8.24,5.62,1
6.93,5.35,0
5.89,,1
8.12,8.38,1
8.95,5.78,0
6.85,5.15,1
5.55,6.11,1
8.65,6.44,1
7.16,4.42,0
5.45,9.25,0
7.85,7.1,0
7.79,8.34,0
5.95,4.56,1
7.53,8.46,0
10.0,7.1,1
7.57,8.79,1
6.4,,0
4.8,6.75,1
6.02,9.07,1
5.78,7.9,1
4.93,9.85,1
7.97,5.77,0
6.6,9.16,1
8.34,7.17,1
6.61,6.26,1
7.94,5.3,1
7.03,5.74,1
5.53,7.02,1
8.02,5.07,1
6.29,5.1,0
4.5,6.21,0
5.56,6.18,1
7.9,8.16,1
7.98,,1
4.5,6.42,0
8.75,5.61,1
8.76,8.08,1
5.52,3.61,0
5.88,,1
9.13,6.11,0
7.2,5.93,0
5.53,7.45,1
5.8,6.06,1
7.45,8.51,1
8.47,,1
5.67,7.78,1
6.91,6.96,0
4.9,6.36,0
6.73,5.42,0
6.06,7.21,0
6.4,6.04,1
5.35,,1
5.95,,1
9.1,7.58,1
7.16,,0
7.1,8.72,1
7.25,6.32,1
5.85,7.77,1
6.37,6.41,1
6.31,6.0,0
7.54,5.54,1
4.53,7.93,1
7.32,4.36,1
6.68,8.87,1
6.54,,1
6.21,5.03,1
7.21,5.99,1
6.51,7.4,0
8.02,5.38,1
7.26,6.26,1
7.16,5.08,1
6.46,7.13,1
7.85,6.81,1
6.96,6.72,1
6.3,7.03,0
9.42,8.83,1
7.67,4.89,0
5.74,,0
6.96,7.03,1
6.16,6.05,0
8.88,6.32,1
9.45,6.42,0
7.44,6.79,0
5.9,,1
8.09,9.33,1
7.77,7.3,1
9.76,8.44,1
5.97,6.26,1
6.75,6.41,1
6.94,5.89,1
8.04,6.25,1
7.21,3.69,1
5.69,3.99,0
5.24,5.66,0
5.95,5.69,0
9.01,8.71,1
7.17,7.51,1
7.94,6.1,1
6.33,6.64,1
5.21,9.16,1
7.29,7.38,1
6.46,9.49,1
6.52,8.7,1
7.44,10.0,1
8.51,6.34,0
7.17,7.95,1
8.34,5.7,0
6.16,6.92,1
9.51,7.8,1
6.86,5.85,1
6.25,6.33,0
5.68,5.45,0
10.0,5.91,1
8.31,9.03,0
4.76,7.54,1
6.96,6.87,1
7.9,5.62,1
8.01,9.38,0
7.1,6.96,0
4.52,6.18,1
7.52,,1
9.63,6.66,0
6.81,4.9,0
4.77,8.78,0
4.92,6.48,0
8.33,5.09,1
5.23,4.94,0
7.61,7.66,1
7.27,6.92,1
6.77,6.91,0
8.29,6.82,1
6.98,7.28,1
6.8,3.0,0
6.14,5.42,1
7.28,7.39,1
7.29,6.98,1
7.69,6.26,0
6.39,8.81,1
7.27,7.16,1
8.47,6.18,1
6.68,8.35,1
5.77,7.17,1
8.69,6.08,0
9.28,6.2,1
6.19,6.25,0
5.48,5.58,0
6.22,8.47,1
8.6,7.73,1
8.05,5.33,0
7.07,7.81,1
7.37,7.8,0
5.7,9.5,1
7.26,4.67,1
7.04,9.5,1
5.62,8.32,0
6.77,5.2,0
5.3,7.48,1
4.5,3.91,1
7.31,7.94,1
9.99,5.2,1
8.3,8.36,1
8.37,6.82,1
6.1,7.55,1
8.11,8.83,1
8.29,7.27,1
8.0,7.52,1
7.42,5.58,1
7.12,,0
5.71,5.96,0
7.6,,1
6.71,5.75,1
5.58,6.15,1
6.82,4.59,0
6.11,6.32,1
7.86,6.35,1
5.73,,1
6.4,7.29,1
6.26,6.61,1
7.86,,1
6.25,6.15,1
7.78,6.26,1
5.16,5.51,0
7.93,6.86,1
7.65,4.69,1
5.37,5.94,1
7.56,,1
7.75,,1
6.45,7.39,1
7.22,5.47,1
6.43,8.98,0
6.33,6.28,1
6.9,5.57,0
5.91,,1
5.68,6.17,1
7.77,7.11,0
6.65,5.97,1
7.93,6.47,1
7.94,7.4,1
5.35,7.54,1
6.54,8.31,0
5.89,6.11,0
6.75,,1
8.26,7.0,0
8.52,6.73,0
6.82,7.85,0
8.23,5.09,0
8.6,6.8,1
7.43,4.7,1
7.93,6.79,1
8.0,5.43,1
7.32,6.3,0
5.82,7.29,1
5.5,5.27,0
7.86,7.56,0
5.66,8.92,0
5.71,,1
9.4,6.48,1
8.62,5.52,1
6.94,7.73,1
9.31,6.94,1
9.21,5.1,0
7.24,7.92,1
8.4,7.02,1
6.16,7.99,1
7.55,,0
6.16,3.94,1
8.02,6.37,1
7.72,7.49,0
5.87,6.22,1
8.99,6.41,1
5.99,6.73,0
4.98,7.27,1
8.64,7.55,1
8.11,,1
7.25,7.47,0
7.14,7.03,1
8.19,9.05,1
5.48,7.47,0
8.18,,1
6.63,6.8,1
4.5,5.79,1
7.17,8.05,1
6.89,4.18,1
8.45,8.88,1
6.22,5.66,1
7.62,9.08,0
6.66,,1
6.33,6.19,1
7.48,6.2,1
8.93,8.81,1
10.0,6.43,1
6.36,6.38,0
9.22,6.35,1
7.67,7.0,1
7.46,6.64,0
8.06,6.3,1
7.13,5.88,1
5.75,5.15,0
5.98,5.46,1
7.3,5.55,0
5.73,4.06,0
6.87,7.8,1
8.57,8.82,1
8.23,8.21,1
7.18,5.51,0
6.42,4.42,1
6.99,6.15,0
7.21,7.34,1
6.78,8.63,1
6.98,,0
7.23,5.95,1
7.57,6.99,1
5.35,7.79,0
7.41,,1
8.7,7.47,1
8.63,4.3,1
9.44,5.47,0
9.36,6.88,1
6.57,6.64,1
7.76,,1
5.02,9.0,1
6.2,7.48,1
8.82,6.54,1
6.23,7.26,1
7.28,7.35,1
7.44,,0
9.04,4.65,1
5.18,6.19,0
6.3,4.82,1
8.1,6.66,1
8.79,6.57,0
8.04,7.92,1
6.93,7.54,1
6.98,6.52,1
7.07,,0
6.91,6.74,0
8.59,3.97,1
7.0,6.46,1
5.82,5.6,0
9.22,4.47,0
5.42,8.55,1
6.44,7.42,1
9.2,5.04,1
8.59,3.98,1
5.89,7.24,1
7.53,6.89,1
9.36,5.4,0
7.52,6.43,1
6.5,7.05,1
7.44,7.85,1
5.96,7.03,1
5.6,6.34,0
7.28,6.29,0
4.77,8.85,1
6.77,6.92,1
5.72,7.71,0
8.02,6.76,0
8.92,6.45,1
6.6,10.0,0
6.59,6.38,0
7.73,8.81,1
7.1,7.32,0
8.06,3.83,0
8.62,7.12,1
6.39,6.41,0
7.13,6.6,1
7.69,5.63,1
6.09,9.4,1
6.25,6.82,0
9.08,,1
7.53,,1
7.3,,0
5.76,7.03,1
8.16,9.13,1
7.26,5.79,1
6.39,9.05,1
5.55,6.93,0
5.29,6.67,1
8.59,,1
5.52,5.99,0
6.71,6.84,1
6.81,6.06,1
7.39,6.51,1
7.52,,1
5.45,4.19,0
7.68,6.17,1
9.96,6.4,1
6.19,6.92,0
